,global,global,global,all_minimizations,all_minimizations,all_minimizations,all_minimizations,only_complete_minimization,only_complete_minimization,only_complete_minimization,only_complete_minimization,no_absorbed_removal,no_absorbed_removal,no_absorbed_removal,no_absorbed_removal,ascending_heuristic,ascending_heuristic,ascending_heuristic,ascending_heuristic,descending_heuristic,descending_heuristic,descending_heuristic,descending_heuristic,lace_1_thread,lace_1_thread,lace_1_thread,lace_1_thread,lace_7_threads,lace_7_threads,lace_7_threads,lace_7_threads
,size,vars,aux_vars,duration,end_size,max_size,end_vars,duration,end_size,max_size,end_vars,duration,end_size,max_size,end_vars,duration,end_size,max_size,end_vars,duration,end_size,max_size,end_vars,duration,end_size,max_size,end_vars,duration,end_size,max_size,end_vars
dataset/Planning/tire-1.dc.min,15277,3090,2738,3600273331,20716,22653,643,3600350281,20725,20725,627,3660052218.0,785735641.0,785735641.0,1235.0,3600021809,22146,22569,2274,3600181395,175951,175951,2928,3600286979,24554,24554,643,3600311288,20979,22653,643
dataset/circuit/iscas/iscas85/c432.isc.dc.min,21254,4913,4717,3600378667,29511,31817,843,3600278638,23876,23876,849,3652761319.0,439882060.0,439882060.0,1954.0,3600018440,36731,36731,4411,3600013717,41004,41004,4691,3600503149,29782,31817,843,3600455729,31007,31817,877
dataset/circuit/iscas/iscas89/s400.bench.dc.min,10382,2158,1969,3600029266,46764,46764,311,3600188108,15155,15155,320,3633527345.0,376003989.0,376003989.0,730.0,3600046536,84034,84034,964,3600011653,26288,26288,1682,3600024064,17052,20558,312,3600272888,17638,20558,313
dataset/circuit/iscas/iscas89/s420.1.bench.dc.min,6474,1348,1096,3600086121,396429,396429,256,3603546504,340338,340338,254,3611142921.0,821595596.0,832145421.0,375.0,3602206889,162755,162755,472,3600033329,39401,39401,756,3600095709,396429,396429,256,3600136468,396429,396429,256
dataset/circuit/iscas/iscas89/s444.bench.dc.min,9817,1964,1759,3600034878,37656,37656,347,3600248857,19475,19475,357,3669690180.0,550166800.0,550166800.0,691.0,3600223658,17060,19367,964,3600011699,30224,30224,1797,3600327929,20741,20741,347,3600300880,22946,22946,347
dataset/circuit/iscas/iscas89/s510.bench.dc.min,6983,1209,973,3600029234,68664,68664,285,3600335636,23984,23984,296,3617368748.0,1538876042.0,1538876042.0,413.0,3600042933,113389,113389,873,3600014962,58282,58282,1043,3600037041,68664,68664,285,3600030351,68664,68664,285
dataset/circuit/iscas/iscas89/s526.bench.dc.min,20443,4196,3979,3600427156,28972,30687,797,3600258814,21248,22478,778,3697253452.0,511597576.0,511597576.0,1912.0,3600079155,62637,62637,3773,3600059016,64330,64330,3955,3600526376,27379,30687,797,3600620741,28218,30687,797
dataset/circuit/iscas/iscas89/s526n.bench.dc.min,20848,4202,3984,3600614798,32773,32773,774,3600300611,22786,23007,781,3647600794.0,436537666.0,436537666.0,1937.0,3600044453,55447,55447,3805,3600023262,59697,59697,4003,3600529488,32012,32012,774,3600534767,32769,32769,774
dataset/circuit/iscas/iscas89/s820.bench.dc.min,24040,4492,4180,3600381938,31540,35999,1092,3600264837,22085,26429,1028,3637595004.0,347687168.0,347687168.0,2197.0,3600019405,39140,39140,4233,3600381437,34165,37593,4353,3600741668,31603,35999,1092,3600426220,22087,35999,1101
dataset/circuit/iscas/iscas89/s832.bench.dc.min,26158,5078,4768,3600417288,33286,39219,1299,3600357247,24771,28771,1154,3661672219.0,276874366.0,276874366.0,2480.0,3600436350,32813,38601,4816,3600061803,194384,194384,4952,3600480677,24720,39219,1315,3600443127,24872,39219,1383
